id,name_vi,name_en,category,price_vnd,size,description_vi,image_url,is_active,retired_at,display_order,allergens
1,Bánh mì hoa cúc,,bread,65000,1 ổ,"Bánh mì hoa cúc, làm trong ngày.",,TRUE,,1,"[""gluten"", ""dairy"", ""egg""]"
2,Bánh su kem,,pastry,18000,1 cái,"Bánh su kem, làm trong ngày.",,TRUE,,2,"[""gluten"", ""dairy"", ""egg""]"
3,Tart trứng nướng,,tart,22000,1 cái,"Tart trứng nướng, làm trong ngày.",,TRUE,,3,"[""gluten"", ""dairy"", ""egg""]"
4,Cupcake socola,,cupcake,35000,1 cái,"Cupcake socola, làm trong ngày.",,TRUE,,4,"[""gluten"", ""dairy"", ""egg""]"
5,Bánh kem dâu tươi,,cake,320000,16cm,Bánh kem dâu tươi — đặc sản tiệm Ngọt.,,TRUE,,5,"[""gluten"", ""dairy"", ""egg""]"
6,Tiramisu Ý,,cake,95000,1 phần,Tiramisu Ý — đặc sản tiệm Ngọt.,,TRUE,,6,"[""gluten"", ""dairy"", ""egg""]"
7,Croissant bơ Pháp,,pastry,38000,1 cái,"Croissant bơ Pháp, làm trong ngày.",,TRUE,,7,"[""gluten"", ""dairy""]"
8,Macaron pastel,,cookie,25000,1 cái,"Macaron pastel, làm trong ngày.",,TRUE,,8,"[""dairy"", ""egg"", ""nut""]"
9,Bánh bông lan trứng muối,,cake,165000,1 hộp,Bánh bông lan trứng muối — đặc sản tiệm Ngọt.,,TRUE,,9,"[""gluten"", ""dairy"", ""egg""]"
10,Phô mai cuộn,,pastry,42000,1 cái,"Phô mai cuộn, làm trong ngày.",,TRUE,,10,"[""gluten"", ""dairy"", ""egg""]"
11,Bánh kem sinh nhật 16cm,,cake,380000,16cm,Bánh kem sinh nhật 16cm — đặc sản tiệm Ngọt.,,TRUE,,11,"[""gluten"", ""dairy"", ""egg""]"
12,Bánh kem sinh nhật 20cm,,cake,520000,20cm,Bánh kem sinh nhật 20cm — đặc sản tiệm Ngọt.,,TRUE,,12,"[""gluten"", ""dairy"", ""egg""]"
13,Bánh kem sinh nhật 24cm,,cake,680000,24cm,Bánh kem sinh nhật 24cm — đặc sản tiệm Ngọt.,,TRUE,,13,"[""gluten"", ""dairy"", ""egg""]"
14,Bánh tart hoa quả,,tart,280000,1 cái,"Bánh tart hoa quả, làm trong ngày.",,TRUE,,14,"[""gluten"", ""dairy"", ""egg""]"
15,Bánh mì baguette,,bread,32000,1 ổ,"Bánh mì baguette, làm trong ngày.",,TRUE,,15,"[""gluten""]"
16,Bánh donut socola,,pastry,28000,1 cái,"Bánh donut socola, làm trong ngày.",,TRUE,,16,"[""gluten"", ""dairy"", ""egg""]"
17,Bánh donut đường,,pastry,25000,1 cái,"Bánh donut đường, làm trong ngày.",,TRUE,,17,"[""gluten"", ""dairy"", ""egg""]"
18,Bánh kem matcha,,cake,360000,16cm,Bánh kem matcha — đặc sản tiệm Ngọt.,,TRUE,,18,"[""gluten"", ""dairy"", ""egg""]"
19,Bánh kem socola,,cake,350000,16cm,Bánh kem socola — đặc sản tiệm Ngọt.,,TRUE,,19,"[""gluten"", ""dairy"", ""egg""]"
20,Bánh mousse chanh dây,,cake,110000,1 cốc,Bánh mousse chanh dây — đặc sản tiệm Ngọt.,,TRUE,,20,"[""dairy"", ""egg""]"
21,Bánh mousse xoài,,cake,110000,1 cốc,Bánh mousse xoài — đặc sản tiệm Ngọt.,,TRUE,,21,"[""dairy"", ""egg""]"
22,Cheesecake New York,,cake,95000,1 phần,Cheesecake New York — đặc sản tiệm Ngọt.,,TRUE,,22,"[""gluten"", ""dairy"", ""egg""]"
23,Cheesecake matcha,,cake,95000,1 phần,Cheesecake matcha — đặc sản tiệm Ngọt.,,TRUE,,23,"[""gluten"", ""dairy"", ""egg""]"
24,Bánh flan,,pastry,18000,1 cái,"Bánh flan, làm trong ngày.",,TRUE,,24,"[""dairy"", ""egg""]"
25,Bánh chuối nướng,,cake,85000,1 phần,Bánh chuối nướng — đặc sản tiệm Ngọt.,,TRUE,,25,"[""gluten"", ""dairy"", ""egg""]"
26,Cookie chocolate chip,,cookie,12000,1 cái,"Cookie chocolate chip, làm trong ngày.",,TRUE,,26,"[""gluten"", ""dairy"", ""egg""]"
27,Cookie bơ đậu phộng,,cookie,12000,1 cái,"Cookie bơ đậu phộng, làm trong ngày.",,TRUE,,27,"[""gluten"", ""dairy"", ""egg"", ""nut""]"
28,Bánh quy bơ,,cookie,8000,1 cái,"Bánh quy bơ, làm trong ngày.",,TRUE,,28,"[""gluten"", ""dairy""]"
29,Bánh cracker mặn,,cookie,6000,1 cái,"Bánh cracker mặn, làm trong ngày.",,TRUE,,29,"[""gluten""]"
30,Pretzel mềm,,bread,35000,1 cái,"Pretzel mềm, làm trong ngày.",,FALSE,2026-04-21T09:00:00,30,"[""gluten"", ""dairy""]"
31,Bánh quy hạnh nhân,,cookie,14000,1 cái,"Bánh quy hạnh nhân, làm trong ngày.",,TRUE,,31,"[""gluten"", ""dairy"", ""nut""]"
32,Roll cake matcha,,cake,145000,1 cái,Roll cake matcha — đặc sản tiệm Ngọt.,,TRUE,,32,"[""gluten"", ""dairy"", ""egg""]"
33,Roll cake socola,,cake,145000,1 cái,Roll cake socola — đặc sản tiệm Ngọt.,,TRUE,,33,"[""gluten"", ""dairy"", ""egg""]"
34,Bánh tiramisu cốc,,cake,55000,1 cốc,Bánh tiramisu cốc — đặc sản tiệm Ngọt.,,TRUE,,34,"[""gluten"", ""dairy"", ""egg""]"
35,Bánh kem hoa kem tươi,,cake,420000,16cm,Bánh kem hoa kem tươi — đặc sản tiệm Ngọt.,,TRUE,,35,"[""gluten"", ""dairy"", ""egg""]"
36,Bánh kem fondant,,cake,580000,16cm,Bánh kem fondant — đặc sản tiệm Ngọt.,,TRUE,,36,"[""gluten"", ""dairy"", ""egg""]"
37,Bánh tart chanh,,tart,38000,1 cái,"Bánh tart chanh, làm trong ngày.",,TRUE,,37,"[""gluten"", ""dairy"", ""egg""]"
38,Bánh tart phô mai,,tart,42000,1 cái,"Bánh tart phô mai, làm trong ngày.",,TRUE,,38,"[""gluten"", ""dairy"", ""egg""]"
39,Bánh hamberger nhỏ,,bread,35000,1 cái,"Bánh hamberger nhỏ, làm trong ngày.",,TRUE,,39,"[""gluten"", ""dairy"", ""egg""]"
40,Mini cupcake set 6,,cupcake,165000,set 6,"Mini cupcake set 6, làm trong ngày.",,TRUE,,40,"[""gluten"", ""dairy"", ""egg""]"
41,Mini cupcake set 12,,cupcake,295000,set 12,"Mini cupcake set 12, làm trong ngày.",,TRUE,,41,"[""gluten"", ""dairy"", ""egg""]"
42,Bánh mì sandwich gà nướng,,bread,45000,1 cái,"Bánh mì sandwich gà nướng, làm trong ngày.",,TRUE,,42,"[""gluten"", ""dairy"", ""egg""]"
43,Bánh mì sandwich tuna,,bread,42000,1 cái,"Bánh mì sandwich tuna, làm trong ngày.",,TRUE,,43,"[""gluten"", ""dairy"", ""egg""]"
44,Bánh mì sandwich phô mai,,bread,38000,1 cái,"Bánh mì sandwich phô mai, làm trong ngày.",,TRUE,,44,"[""gluten"", ""dairy""]"
45,Bánh kem mousse cà phê,,cake,360000,16cm,Bánh kem mousse cà phê — đặc sản tiệm Ngọt.,,TRUE,,45,"[""dairy"", ""egg""]"
46,Bánh kem mousse trà xanh,,cake,360000,16cm,Bánh kem mousse trà xanh — đặc sản tiệm Ngọt.,,TRUE,,46,"[""dairy"", ""egg""]"
47,Bánh kem rau câu,,cake,280000,1 hộp,Bánh kem rau câu — đặc sản tiệm Ngọt.,,TRUE,,47,"[""dairy""]"
48,Bánh trung thu nướng,,pastry,65000,1 cái,"Bánh trung thu nướng, làm trong ngày.",,TRUE,,48,"[""gluten"", ""egg"", ""nut""]"
49,Bánh trung thu dẻo,,pastry,62000,1 cái,"Bánh trung thu dẻo, làm trong ngày.",,TRUE,,49,"[""gluten"", ""nut""]"
